id,candidate_type,priority_score,capability,visual_dependency_gap,normal_f1,control_max_f1,question,gold_answer,normal_prediction,human_action,human_note
lingoqa_eval_000077_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.1588,spatial_localization,-0.0794,0.45,0.5294,"What factors influence the adjustment of your speed, and why is it important to do so?",I must adjust my speed according to the distance with the car in front and the speed limits.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""the speed of the vehicle, the weather conditions, the distance to the front car, the yaw rate, the gear, and the time."",   ""reason"": ""the image shows a street with buildings and trees, indicating that the vehicle is driving in an urban area. the presence of traffic signs and the road markings suggest that the driver needs to adjust the speed based on these factors."" } ```",fix,"The 20 mph sign is visible, but following-distance evidence is weaker. Rewrite to cite the 20 limit, lead vehicle distance, and bus-stop roadside context."
lingoqa_eval_000037_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.1528,spatial_localization,-0.0764,0.1379,0.2143,"What is the current action and its justification? Answer in the form ""action, justification"".","The car is clearing the intersection while moving to the right lane, in order to overtake the cyclist on the left.","```json {   ""task"": ""external_vqa"",   ""answer"": ""stop, waiting for the traffic light to change"",   ""reason"": ""the car is stopped at a red traffic light with no visible movement of other vehicles"" } ```",drop,"The cyclist-on-left and right-lane movement cause are not clearly visible, so the gold rationale lacks image support."
lingoqa_eval_000052_hard_negative_spatial_reasoning,hard_negative_spatial_reasoning,5.0592,spatial_localization,-0.0296,0.2667,0.2963,"What is the current action and its justification? Answer in the form ""action, justification"".","The car starts and accelerates, because the vehicles in front are pulling away at the junction due to the green traffic light.","```json {   ""task"": ""external_vqa"",   ""answer"": ""stop, waiting for the traffic light to change"",   ""reason"": ""the car is stopped at a red traffic light"" } ```",keep,"Frames show a green light and vehicles ahead pulling away, supporting start and accelerate at the junction."
lingoqa_eval_000075_wrong_image_confound,wrong_image_confound,4.6174,other,-0.3087,0.3,0.6087,How is the car impacting your driving?,The car is not impacting my driving as I need to stop for the red light.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""the car is stationary"",   ""reason"": ""the car's dashboard is visible, indicating it is not moving"" } ```",keep,"The red light is the driving constraint, not the nearby car. Useful anti-hallucination sample for focusing on the visual cause."
lingoqa_eval_000078_wrong_image_confound,wrong_image_confound,4.5714,counting,-0.2857,0.0,0.2857,How many parked vehicles can you see on this street?,"Zero parked vehicles, but many stationary.","```json {   ""task"": ""external_vqa"",   ""answer"": ""12"",   ""reason"": ""There are 12 parked vehicles visible along the street."" } ```",drop,"Parked versus stationary vehicles is ambiguous in the scene, making the count and label unreliable."
lingoqa_eval_000044_wrong_image_confound,wrong_image_confound,4.3334,object_recognition,-0.1667,0.3333,0.5,Are there any traffic lights? What color are they showing?,No traffic lights.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, there are traffic lights. They are showing red."",   ""reason"": ""There are multiple traffic lights visible in the image, with one showing red."" } ```",fix,"No standard traffic light is visible, but pedestrian crossing beacons are present. Rewrite to distinguish traffic lights from crossing beacons."
lingoqa_eval_000049_wrong_image_confound,wrong_image_confound,4.3334,object_recognition,-0.1667,0.5,0.6667,"Is there a traffic light in sight? If so, what color is it exhibiting?","Yes, green.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, red"",   ""reason"": ""a traffic light is visible in the image, displaying a red signal."" } ```",keep,"The signal changes to green in later frames. Useful visual-grounding sample requiring the current image, not language prior."
lingoqa_eval_000065_wrong_image_confound,wrong_image_confound,4.3,other,-0.15,0.25,0.4,What should you pay attention to in this scenario?,Should pay attention to the state of the lights as they are red so we must stop.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""pay attention to other vehicles and pedestrians"",   ""reason"": ""the image shows a busy street with multiple vehicles and people, indicating the need to be cautious of others."" } ```",keep,Red lights and vulnerable road users are visible. Good anti-hallucination sample for attending to the signal state.
lingoqa_eval_000009_wrong_image_confound,wrong_image_confound,4.0,other,0.0,1.0,1.0,Is there any traffic in your lane preventing you from moving forward?,No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the road is clear with no visible traffic in the lane"" } ```",keep,The ego lane is clear and the motorcycle or other traffic does not block forward motion. Useful negative obstruction sample.
lingoqa_eval_000020_wrong_image_confound,wrong_image_confound,4.0,other,0.0,0.3333,0.3333,Is any vehicle stopped at the zebra crossing?,There is no zebra crossing.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the image shows a street with vehicles moving forward, but there is no visible zebra crossing where a vehicle would be stopped."" } ```",keep,"No zebra crossing is visible in the frames, so the answer directly corrects the question premise."
lingoqa_eval_000021_wrong_image_confound,wrong_image_confound,4.0,reasoning_world_knowledge,0.0,0.4444,0.4444,Why are you changing lane?,I am not changing lane. I am overtaking the cyclist within the current lane.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""I am changing lane because I need to merge onto the main road."",   ""reason"": ""The driver is approaching a junction where they need to change lanes to continue driving down the street."" } ```",keep,"Frames support that the vehicle is not clearly changing lanes, but is passing a cyclist within the current lane. Good premise-correction sample."
lingoqa_eval_000023_wrong_image_confound,wrong_image_confound,4.0,counting,0.0,1.0,1.0,How many cyclists are on the road?,0,"```json {   ""task"": ""external_vqa"",   ""answer"": ""0"",   ""reason"": ""There are no cyclists visible on the road in the image."" } ```",keep,No cyclist is visible on the road across the checked frames. Useful anti-hallucination counting sample.
lingoqa_eval_000025_wrong_image_confound,wrong_image_confound,4.0,other,0.0,1.0,1.0,Is it safe for you to proceed through the intersection?,Yes.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""the traffic light is green"" } ```",fix,"The final frame shows a green light and mostly clear path, but Yes is too short. Rewrite with green light and no immediate blocking pedestrian or vehicle."
lingoqa_eval_000028_wrong_image_confound,wrong_image_confound,4.0,counting,0.0,0.3333,0.3333,How many motorcyclists can you see?,I can see 1 motorcyclist.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""1"",   ""reason"": ""There is only one motorcycle visible in the image."" } ```",keep,One motorcyclist is visible ahead in the early and middle frames. Count is visually supported.
lingoqa_eval_000040_wrong_image_confound,wrong_image_confound,4.0,other,0.0,0.4,0.4,Are there any cyclists in this image?,There are no cyclists.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""there are no cyclists visible in the image"" } ```",keep,No cyclists are visible in the checked frames. Useful negative cyclist-presence sample.
lingoqa_eval_000042_wrong_image_confound,wrong_image_confound,4.0,spatial_localization,0.0,0.3333,0.3333,Is there traffic in the opposite direction?,"Yes, in the right lane.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""There is traffic in the opposite direction as indicated by the presence of multiple vehicles including cars and a bus."" } ```",keep,"Opposing traffic is visible in the right-side opposing lane, consistent with the gold answer in a UK road scene."
lingoqa_eval_000059_wrong_image_confound,wrong_image_confound,4.0,object_recognition,0.0,0.4,0.4,"Are there any traffic lights present? If so, what is the color displayed by the lights?","Yes, green to yellow.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, the traffic light is yellow."",   ""reason"": ""There are multiple traffic lights visible in the image, with one displaying a yellow signal."" } ```",keep,The signal is visible as yellow in the later frame and can be interpreted as changing from green to yellow.
lingoqa_eval_000062_wrong_image_confound,wrong_image_confound,4.0,spatial_localization,0.0,1.0,1.0,"Are there any buses in this image? If yes, where are they located?",No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""There are no buses visible in the image."" } ```",keep,No bus is visible; the scene instead contains cyclists and ordinary vehicles. Useful anti-hallucination bus-presence sample.
lingoqa_eval_000064_positive_grounding,positive_grounding,4.0,object_recognition,1.0,1.0,0.0,What is the color of traffic lights at this intersection?,Green.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""green"",   ""reason"": ""The traffic light in the image is green."" } ```",keep,The left-side traffic light is clearly green. Good positive traffic-light color grounding sample.
lingoqa_eval_000069_wrong_image_confound,wrong_image_confound,4.0,object_recognition,0.0,0.4,0.4,"Are there any traffic lights in the vicinity? If yes, what colors are they displaying?","Yes, they are green.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""There are traffic lights visible in the image, with green lights indicating that vehicles can proceed."" } ```",keep,The traffic light is clearly green in the later frame. Keep as a wrong-image confound only with note to rely on the actual image.
lingoqa_eval_000070_positive_grounding,positive_grounding,4.0,other,1.0,1.0,0.0,Are there pedestrians crossing the road?,Yes.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""There are people visible crossing the road at the intersection."" } ```",keep,Pedestrians are visibly crossing ahead in multiple frames. Good pedestrian-crossing grounding sample.
lingoqa_eval_000085_wrong_image_confound,wrong_image_confound,4.0,other,0.0,1.0,1.0,Should you yield to any vehicle when going straight at this intersection?,No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the car is stopped at a red light, indicating it should not yield to other vehicles."" } ```",fix,"No specific vehicle needs yielding, but signal state changes. Rewrite to say no vehicle yield is needed while still obeying the light and checking the junction."
lingoqa_eval_000089_wrong_image_confound,wrong_image_confound,4.0,object_recognition,0.0,0.3077,0.3077,"Is there a traffic signal present? If there is, what color is being exhibited?","Yes, it is red as the vehicles ahead are stopped.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, red light"",   ""reason"": ""There is a traffic light visible in the image with a red light illuminated."" } ```",drop,"A red traffic signal is not clearly supported, and vehicles ahead do not clearly appear stopped for red. Gold conflicts with visible evidence."
lingoqa_eval_000090_wrong_image_confound,wrong_image_confound,4.0,other,0.0,0.2857,0.2857,What is the road speed limit?,"20, according to the lane markings.","```json {   ""task"": ""external_vqa"",   ""answer"": ""20"",   ""reason"": ""The road has a speed limit of 20 mph indicated by the white circle with the number 20 on it."" } ```",keep,The 20 road marking is clearly visible in the final frame. Good road-speed-limit grounding sample.
lingoqa_eval_000091_wrong_image_confound,wrong_image_confound,4.0,spatial_localization,0.0,1.0,1.0,Are you permitted to make a right turn at this specific location?,No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the bus is turning right"" } ```",drop,No clear no-right-turn sign or lane rule is visible. The No answer lacks sufficient image evidence.
lingoqa_eval_000092_positive_grounding,positive_grounding,4.0,counting,1.0,1.0,0.0,How many parked cars can you spot on the left?,1,"```json {   ""task"": ""external_vqa"",   ""answer"": ""1"",   ""reason"": ""There is only one parked car visible on the left side of the street."" } ```",keep,"One obvious parked or stationary vehicle is visible on the left, so the count is acceptable for a simple grounding sample."
lingoqa_eval_000093_wrong_image_confound,wrong_image_confound,4.0,object_recognition,0.0,0.4,0.4,"Are there any traffic lights present? If yes, what color are they displaying?","Yes, green.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, red light"",   ""reason"": ""There are traffic lights visible in the image, with one showing a red light."" } ```",keep,The traffic light becomes green in later frames. Useful anti-prior sample for checking signal color from the image.
lingoqa_eval_000095_wrong_image_confound,wrong_image_confound,4.0,spatial_localization,0.0,0.2,0.2,Are there any cyclists in this image?,"Yes, there are 2 cyclists in the left lane.","```json {   ""task"": ""external_vqa"",   ""answer"": ""yes"",   ""reason"": ""There are cyclists riding bicycles in the image."" } ```",drop,"Cyclists are present, but the count of two and the left-lane relation are not clear enough for training."
lingoqa_eval_000098_wrong_image_confound,wrong_image_confound,4.0,other,0.0,1.0,1.0,Can you spot any emergency vehicles in this image?,No.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the image shows a street with buildings and parked cars, but no emergency vehicles are visible."" } ```",keep,No emergency vehicle is visible across the checked frames. Useful negative emergency-vehicle sample.
lingoqa_eval_000030_language_prior_confound,language_prior_confound,3.9712,other,-0.2356,0.0769,0.3125,Do you need to speed up? State the reason for your answer.,"If doing the speed limit there is no need to speed up, if below the speed limit speed up to the limit and maintain speed.","```json {   ""task"": ""external_vqa"",   ""answer"": ""no"",   ""reason"": ""the car is stationary with no visible speedometer or gear indicator."" } ```",drop,"The answer is generic speed-limit advice and depends on current speed, which is not visually available. Language-prior value is too high."
lingoqa_eval_000019_language_prior_confound,language_prior_confound,3.9196,object_recognition,-0.2098,0.1538,0.3636,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",There are traffic lights displaying blinking amber.,"```json {   ""task"": ""external_vqa"",   ""answer"": ""yes, the traffic light is yellow."",   ""reason"": ""There are multiple traffic lights visible in the image, with one displaying a yellow signal."" } ```",drop,"The visible amber devices are pedestrian-crossing beacons, not clearly standard intersection traffic lights. The question and answer are ambiguous."
