id,capability,question,image,num_images,gold_answer,normal_answer,text_only_answer,wrong_image_answer,blank_image_answer,normal_f1,text_only_f1,wrong_image_f1,blank_image_f1,control_max_f1,visual_dependency_gap,primary_error_type,secondary_flags,recommendation,category,subcategory,source,reviewer_note
lingoqa_eval_000023,counting,How many cyclists are on the road?,data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg,5,0,0,0,There are no cyclists on the road.,0,1.0,1.0,0.0,1.0,1.0,0.0,language_prior_or_question_bias,text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,counting,lingoqa,
lingoqa_eval_000024,object_recognition,"Are there any traffic lights present? If yes, what color are they displaying?",data/external/lingoqa/images/val/43e53c341ab5aae565705dede4de87ab/0.jpg,5,No.,"yes, yellow",no,yes,no,0.0,1.0,0.0,1.0,1.0,-1.0,language_prior_or_question_bias,object_recognition_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000025,other,Is it safe for you to proceed through the intersection?,data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/0.jpg,5,Yes.,yes,no,yes,no,1.0,0.0,1.0,0.0,1.0,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,other,lingoqa,
lingoqa_eval_000026,reasoning_world_knowledge,"Is it possible for you to accelerate in this situation, and if so, why?",data/external/lingoqa/images/val/6cc9407bedea610b5abe5cc012d5fdff/0.jpg,5,It is not possible to accelerate as there is a roundabout after the pedestrian crossing.,yes,"yes, it is possible to accelerate.",yes,no,0.0,0.4762,0.0,0.0,0.4762,-0.4762,language_prior_or_question_bias,reasoning_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000027,spatial_localization,Should you stop? Why yes or why not?,data/external/lingoqa/images/val/00fb5ab9e2d508c573d588652cf0d025/0.jpg,5,"You shouldn't completely stop, but you should slow down since you're overtaking 2 cyclists and steering to the right but at the same time there is another cyclist coming from the opposite direction. You should give plenty of space to all 3 of them.",no,no,no,yes,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000028,counting,How many motorcyclists can you see?,data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg,5,I can see 1 motorcyclist.,2,0,1,0,0.0,0.0,0.3333,0.0,0.3333,-0.3333,wrong_image_confound,counting_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,counting,lingoqa,
lingoqa_eval_000029,object_recognition,"Are there any traffic lights present? If yes, what is the color of the lights?",data/external/lingoqa/images/val/a51fb9e029890062f7c86d581cbd96a2/0.jpg,5,"Yes, red.","yes, red light",no,no,no,0.8,0.0,0.0,0.0,0.0,0.8,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000030,other,Do you need to speed up? State the reason for your answer.,data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg,5,"If doing the speed limit there is no need to speed up, if below the speed limit speed up to the limit and maintain speed.",no,no,no,no,0.0769,0.0769,0.0769,0.0769,0.0769,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,other,lingoqa,
lingoqa_eval_000031,reasoning_world_knowledge,"Are there any specific vehicles to which you should yield in this situation? If yes, why?",data/external/lingoqa/images/val/8b1eaed55ac89d3fd98ca9a00d3b29a3/0.jpg,5,No.,yes,no,no,no,0.0,1.0,1.0,1.0,1.0,-1.0,language_prior_or_question_bias,reasoning_failure;wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000032,spatial_localization,"Should you consider reducing your speed at this point? If yes, what are the reasons behind it?",data/external/lingoqa/images/val/065d10fc58526a238d2b4c8d9c06e763/0.jpg,5,"Yes, to allow plenty of time for the cyclist to pass and the pedestrian to finishing crossing the street.",yes,yes,"yes, reduce speed due to narrow lanes and potential obstacles",yes,0.1,0.1,0.2069,0.1,0.2069,-0.1069,wrong_image_confound,spatial_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000033,counting,How many motorcyclists can be seen?,data/external/lingoqa/images/val/f2e4286e94457b8605069190e29f955a/0.jpg,5,There is one motorcyclist behind the truck on the opposite lane.,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000034,object_recognition,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/e9148b5d1dc3d42ae93cb718d1585aca/0.jpg,5,Yes. The traffic light is red.,"yes, red light",no traffic lights detected,"yes, red light",no,0.6667,0.2,0.6667,0.0,0.6667,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000035,other,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/0.jpg,5,"The car stops, as it reaches an intersection with red traffic lights and pedestrians crossing the road.",skateboarding,stop,stop,stop,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,other,lingoqa,
lingoqa_eval_000036,reasoning_world_knowledge,Why can you proceed at this intersection?,data/external/lingoqa/images/val/cedf6e4dacd1abe46f36b688ac36fc34/0.jpg,5,The traffic light is green and no pedestrian is crossing.,the traffic light is green,unknown,the traffic light is green,unknown,0.6667,0.0,0.6667,0.0,0.6667,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000037,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/0.jpg,5,"The car is clearing the intersection while moving to the right lane, in order to overtake the cyclist on the left.",stop,stop,the truck is driving down the road.,stop,0.0,0.0,0.2143,0.0,0.2143,-0.2143,wrong_image_confound,spatial_failure;wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000038,counting,How many pedestrians can be seen?,data/external/lingoqa/images/val/f2e4286e94457b8605069190e29f955a/0.jpg,5,None.,1,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000039,object_recognition,"Are there any traffic lights present at this intersection? If so, what is the color displayed?",data/external/lingoqa/images/val/42b2150188e97e7c4d7d790b670f1f74/0.jpg,5,There are three lights displaying the same signal and it is green.,yes,no traffic lights detected,yes,no,0.0,0.125,0.0,0.0,0.125,-0.125,all_settings_failed,object_recognition_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000040,other,Are there any cyclists in this image?,data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/0.jpg,5,There are no cyclists.,no,no,no,no,0.4,0.4,0.4,0.4,0.4,0.0,language_prior_or_question_bias,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000041,reasoning_world_knowledge,Can you proceed forward at this moment? Explain why or why not.,data/external/lingoqa/images/val/b6e397dd9a84bf1151e4c8d27f6e03fa/0.jpg,5,Once the pedestrians move out of the way it is then safe to proceed because the lights are green and road clear.,no,no,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000042,spatial_localization,Is there traffic in the opposite direction?,data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/0.jpg,5,"Yes, in the right lane.",yes,no,yes,no,0.3333,0.0,0.3333,0.0,0.3333,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000043,counting,How many pedestrians can be seen?,data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/0.jpg,5,2 pedestrians crossing the road can be seen.,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000044,object_recognition,Are there any traffic lights? What color are they showing?,data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/0.jpg,5,No traffic lights.,"yes, red light",no,yes,no,0.0,0.5,0.0,0.5,0.5,-0.5,language_prior_or_question_bias,object_recognition_failure;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000045,other,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/a92897f3de30fa1578ddf84dbf708ebe/0.jpg,5,I am crossing the intersection because the traffic light is green.,stop,stop,stop,stop,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,other,lingoqa,
lingoqa_eval_000046,reasoning_world_knowledge,Should you come to a full stop? Why?,data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/0.jpg,5,"No, the lights are green and we have enough room to avoid the jaywalker.",yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000047,spatial_localization,"Are you positioned correctly to make a right turn at this intersection? If not, what adjustments should you make?",data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/0.jpg,5,There is no intersection ahead.,yes,adjustments needed,adjust your position to the left side of the road to prepare for a right turn.,positioned correctly,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000048,counting,How many cyclists are on the road?,data/external/lingoqa/images/val/0cb55ed0d4ce02a27a2647c97c2ab6e8/0.jpg,5,There is no cyclist on the road.,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000049,object_recognition,"Is there a traffic light in sight? If so, what color is it exhibiting?",data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg,5,"Yes, green.",yes,no,yes,no,0.6667,0.0,0.6667,0.0,0.6667,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000050,other,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/01dbcf4b079b49b6ca34c0475492380c/0.jpg,5,"Drive slightly accelerate straight, the lights are green and there is enough space between us and the lead vehicle.",stop,stop,bicyclists crossing the street,stop,0.0,0.0,0.087,0.0,0.087,-0.087,all_settings_failed,,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,other,lingoqa,
lingoqa_eval_000051,reasoning_world_knowledge,To which vehicle should you yield? Why?,data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/0.jpg,5,None.,yield to the cyclists,yield to the front car,the motorcycle,yield to the front car,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000052,spatial_localization,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg,5,"The car starts and accelerates, because the vehicles in front are pulling away at the junction due to the green traffic light.",stop,stop,stop,stop,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,spatial_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000053,counting,How many parked cars can be seen on the right of the road?,data/external/lingoqa/images/val/8acfd91fc5488115f4a96cfb9901b35c/0.jpg,5,"There are some parked cars on the right, but they are too far away to count.",3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000054,object_recognition,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/63ffb065cf9859665335ab371b593f41/0.jpg,5,"Yes, green.","yes, the traffic light is green.",no traffic lights detected,no,no,0.5,0.0,0.0,0.0,0.0,0.5,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000055,other,Do you need to decelerate? Provide a reason for your answer.,data/external/lingoqa/images/val/ce3084593e16b501a27dbbef7b2aa653/0.jpg,5,Yes. To avoid hitting the pedestrian crossing on the zebra crossing.,yes,no,no,no,0.1667,0.0,0.0,0.0,0.0,0.1667,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,other,lingoqa,
lingoqa_eval_000056,reasoning_world_knowledge,Is it safe to enter the intersection at this time? Why?,data/external/lingoqa/images/val/16ac40a0f73c04115c5ab188d7922491/0.jpg,5,"Yes, it is a protected intersection and my traffic light is green. The pedestrian is unlikely to start crossing, but I should pay attention to her.",yes,It is not safe to enter the intersection at this time.,It is safe to enter the intersection as there are no vehicles approaching from the right side.,It is unknown if it is safe to enter the intersection.,0.0741,0.2703,0.2326,0.3243,0.3243,-0.2503,blank_image_confound,reasoning_failure;wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Strengthen prompt against hallucinated visual evidence and inspect answer ambiguity.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000057,spatial_localization,"Is there any obstruction preventing the car from advancing? If so, what is the nature of the obstruction?",data/external/lingoqa/images/val/8f3964238bb3d551e806cb73f2182835/0.jpg,5,"No, the intersection is clear.",no obstruction,no obstruction detected,yes,no obstruction,0.2857,0.25,0.0,0.2857,0.2857,0.0,blank_image_confound,,Strengthen prompt against hallucinated visual evidence and inspect answer ambiguity.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000058,counting,How many cyclists are there?,data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/0.jpg,5,There are no cyclists.,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,counting_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,counting,lingoqa,
lingoqa_eval_000059,object_recognition,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg,5,"Yes, green to yellow.","yes, the traffic light is yellow.",no traffic lights detected,"yes, the traffic light is yellow.",no,0.4,0.0,0.4,0.0,0.4,0.0,wrong_image_confound,wrong_image_beats_or_ties_normal,Check if the model is answering from language priors or if references are too generic.,LingoQA,object_recognition,lingoqa,
lingoqa_eval_000060,other,"Do you need to come to a stop? If so, what is the reason for it?",data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/0.jpg,5,No.,yes,no,yes,yes,0.0,1.0,0.0,0.0,1.0,-1.0,language_prior_or_question_bias,text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,other,lingoqa,
lingoqa_eval_000061,reasoning_world_knowledge,Should you enter this intersection? Why?,data/external/lingoqa/images/val/aba3a80f88924404e7aeca071167920d/0.jpg,5,I should enter the intersection after the pedestrians finish crossing the road since the lights are blinking amber.,yes,no,no,no,0.0,0.0,0.0,0.0,0.0,0.0,all_settings_failed,reasoning_failure,Review whether the question requires finer visual evidence or has ambiguous labels.,LingoQA,reasoning_world_knowledge,lingoqa,
lingoqa_eval_000062,spatial_localization,"Are there any buses in this image? If yes, where are they located?",data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/0.jpg,5,No.,no,no,no,no,1.0,1.0,1.0,1.0,1.0,0.0,language_prior_or_question_bias,wrong_image_beats_or_ties_normal;text_only_beats_or_ties_normal,Add visual-evidence requirement and verify if the question can be answered from priors.,LingoQA,spatial_localization,lingoqa,
lingoqa_eval_000063,counting,How many pedestrians are present in this image?,data/external/lingoqa/images/val/04c64714f8a1bf28da156721ed7eff32/0.jpg,5,"There are 2 pedestrians, on the left sidewalk.",2,0,12,0,0.2222,0.0,0.0,0.0,0.0,0.2222,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,counting,lingoqa,
lingoqa_eval_000064,object_recognition,What is the color of traffic lights at this intersection?,data/external/lingoqa/images/val/0e4e17ad8f45c7bcce2c1ac65f83b10c/0.jpg,5,Green.,green,red,red,red,1.0,0.0,0.0,0.0,0.0,1.0,visual_helped,,Keep as positive grounding evidence; inspect visual evidence wording.,LingoQA,object_recognition,lingoqa,
