id,eval_case_id,source_status,candidate_type,capability,sft_v1_role,sft_v1_action,ordinary_sft_eligible,preferred_objective,manual_rewrite_required,final_decision,final_answer,final_reason,review_note,priority_bucket,visual_dependency_gap,normal_f1,control_max_f1,question,image,image_paths
lingoqa_eval_000077_hard_negative_spatial_reasoning,lingoqa_eval_000077,v0_fix_rewritten,hard_negative_spatial_reasoning,spatial_localization,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,Speed should be adjusted for the low-speed street environment.,"The frames show a narrow urban road with a visible 20 mph road marking, a bus-stop area, and roadside pedestrian activity. The ego action should be to maintain a modest speed so there is enough stopping margin if a pedestrian, cyclist, or vehicle appears near the stop or side street.",Original car-distance rationale was not visible; rewrote around visible speed marking and roadside context.,,-0.0794,0.45,,"What factors influence the adjustment of your speed, and why is it important to do so?",data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg,"[""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/0.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/1.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/2.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/3.jpg"", ""data/external/lingoqa/images/val/76cb389da4bde25d3af627968de66278/4.jpg""]"
lingoqa_eval_000037_hard_negative_spatial_reasoning,lingoqa_eval_000037,v0_drop,hard_negative_spatial_reasoning,spatial_localization,exclude,drop,false,none,false,drop_sft_v1,,,"The cyclist-on-left and right-lane movement cause are not clearly visible, so the gold rationale lacks image support.",,-0.0764,0.1379,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/0.jpg,"[""data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/0.jpg"", ""data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/1.jpg"", ""data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/2.jpg"", ""data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/3.jpg"", ""data/external/lingoqa/images/val/d0983de189bba9f90dfd5f91e81be620/4.jpg""]"
lingoqa_eval_000052_hard_negative_spatial_reasoning,lingoqa_eval_000052,v0_keep_rewritten,hard_negative_spatial_reasoning,spatial_localization,spatial_reasoning_correction,keep,true,normal_vqa_sft,true,keep_sft_v1,Start and accelerate gently as traffic ahead pulls away at the green light.,The vehicles in front are moving through the junction and the traffic light is green. The ego action should be a cautious start while maintaining distance to the vehicle ahead.,Manual image review accepted with grounded rewrite.,,-0.0296,0.2667,,"What is the current action and its justification? Answer in the form ""action, justification"".",data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg,"[""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/1.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/2.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/3.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/4.jpg""]"
lingoqa_eval_000075_wrong_image_confound,lingoqa_eval_000075,v0_keep_anti_capped_rewritten,wrong_image_confound,other,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,The nearby car is not the main constraint; the ego vehicle needs to stop for the red light.,"The current frames show a red signal and pedestrians in the crossing area. The visible safety constraint is the signal and pedestrian crossing, not a vehicle cutting into the ego lane.",Kept as capped anti-hallucination visual-evidence sample.,,-0.3087,0.3,,How is the car impacting your driving?,data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/0.jpg,"[""data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/0.jpg"", ""data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/1.jpg"", ""data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/2.jpg"", ""data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/3.jpg"", ""data/external/lingoqa/images/val/ab4845470b41f0e123da50c996c35745/4.jpg""]"
lingoqa_eval_000078_wrong_image_confound,lingoqa_eval_000078,v0_drop,wrong_image_confound,counting,exclude,drop,false,none,false,drop_sft_v1,,,"Parked versus stationary vehicles is ambiguous in the scene, making the count and label unreliable.",,-0.2857,0.0,,How many parked vehicles can you see on this street?,data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/0.jpg,"[""data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/0.jpg"", ""data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/1.jpg"", ""data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/2.jpg"", ""data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/3.jpg"", ""data/external/lingoqa/images/val/6fcc62c8231450608cddba5a8e4193cd/4.jpg""]"
lingoqa_eval_000044_wrong_image_confound,lingoqa_eval_000044,v0_fix_rewritten,wrong_image_confound,object_recognition,high_quality_fix_rewritten,fix,true,normal_vqa_sft,true,keep_sft_v1,No vehicle traffic lights are visible.,"The frames show a pedestrian crossing area with yellow beacon-style posts, but no red/amber/green vehicle traffic signal governing the ego lane. The safe interpretation is not to invent a traffic-light color from the image.","Kept as a negative visual-evidence sample, distinguishing beacons from vehicle traffic lights.",,-0.1667,0.3333,,Are there any traffic lights? What color are they showing?,data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/0.jpg,"[""data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/0.jpg"", ""data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/1.jpg"", ""data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/2.jpg"", ""data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/3.jpg"", ""data/external/lingoqa/images/val/8e9323f72ccc4b6637f4f27f0657f3d4/4.jpg""]"
lingoqa_eval_000049_wrong_image_confound,lingoqa_eval_000049,v0_keep_anti_capped_rewritten,wrong_image_confound,object_recognition,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,"Yes, a green traffic light is visible.","The traffic signal ahead for the ego path is green in the reviewed frames, so the answer should be based on that visible signal.",Kept as capped anti-hallucination visual-evidence sample.,,-0.1667,0.5,,"Is there a traffic light in sight? If so, what color is it exhibiting?",data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg,"[""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/0.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/1.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/2.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/3.jpg"", ""data/external/lingoqa/images/val/cd0f484698c6828b020fff5c65864d7c/4.jpg""]"
lingoqa_eval_000065_wrong_image_confound,lingoqa_eval_000065,v0_keep,wrong_image_confound,other,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,-0.15,0.25,,What should you pay attention to in this scenario?,data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg,"[""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/0.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/1.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/2.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/3.jpg"", ""data/external/lingoqa/images/val/f91e7de2b6dbd5cae22565b37cead317/4.jpg""]"
lingoqa_eval_000009_wrong_image_confound,lingoqa_eval_000009,v0_keep_anti_capped_rewritten,wrong_image_confound,other,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,"No, there is no traffic in the ego lane preventing forward movement.",The ego lane ahead is clear in the current images; nearby parked or roadside vehicles do not block the ego path.,Kept as capped anti-hallucination visual-evidence sample.,,0.0,1.0,,Is there any traffic in your lane preventing you from moving forward?,data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/0.jpg,"[""data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/0.jpg"", ""data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/1.jpg"", ""data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/2.jpg"", ""data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/3.jpg"", ""data/external/lingoqa/images/val/9192c58d9644f2254f27d76948d46e0c/4.jpg""]"
lingoqa_eval_000020_wrong_image_confound,lingoqa_eval_000020,v0_keep,wrong_image_confound,other,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,0.0,0.3333,,Is any vehicle stopped at the zebra crossing?,data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/0.jpg,"[""data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/0.jpg"", ""data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/1.jpg"", ""data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/2.jpg"", ""data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/3.jpg"", ""data/external/lingoqa/images/val/dad2e5f536e0c7a91e4929405eeb19da/4.jpg""]"
lingoqa_eval_000021_wrong_image_confound,lingoqa_eval_000021,v0_keep_anti_capped_rewritten,wrong_image_confound,reasoning_world_knowledge,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,You are not changing lane; you are overtaking a cyclist within the current lane.,A cyclist is visible close to the left/front of the ego vehicle while the ego lane continues ahead. The maneuver is to pass with lateral clearance rather than change lanes.,Kept as capped anti-hallucination visual-evidence sample.,,0.0,0.4444,,Why are you changing lane?,data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/0.jpg,"[""data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/0.jpg"", ""data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/1.jpg"", ""data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/2.jpg"", ""data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/3.jpg"", ""data/external/lingoqa/images/val/55e44f08b5e036f3807756a162e3f66b/4.jpg""]"
lingoqa_eval_000023_wrong_image_confound,lingoqa_eval_000023,v0_keep_anti_capped_rewritten,wrong_image_confound,counting,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,There are zero cyclists on the road.,"The reviewed frames show pedestrians near the crossing, but no cyclist is visible in the road scene.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,1.0,,How many cyclists are on the road?,data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg,"[""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/1.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/2.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/3.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/4.jpg""]"
lingoqa_eval_000025_wrong_image_confound,lingoqa_eval_000025,v0_fix,wrong_image_confound,other,high_quality_fix_rewritten,fix,false,normal_vqa_sft,true,drop_sft_v1,,,Dropped: 'safe to proceed' is too safety-critical and the visible signal/pedestrian context is not clear enough for a confident positive answer.,,0.0,1.0,,Is it safe for you to proceed through the intersection?,data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/0.jpg,"[""data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/0.jpg"", ""data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/1.jpg"", ""data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/2.jpg"", ""data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/3.jpg"", ""data/external/lingoqa/images/val/0fc7c33bf1d778e944d5e374e64240bb/4.jpg""]"
lingoqa_eval_000028_wrong_image_confound,lingoqa_eval_000028,v0_keep,wrong_image_confound,counting,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,0.0,0.3333,,How many motorcyclists can you see?,data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg,"[""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/0.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/1.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/2.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/3.jpg"", ""data/external/lingoqa/images/val/f294651150b7727859aaf5d0e3ab9f2e/4.jpg""]"
lingoqa_eval_000040_wrong_image_confound,lingoqa_eval_000040,v0_keep_anti_capped_rewritten,wrong_image_confound,other,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,No cyclists are visible.,"Vehicles and pedestrians are visible around the road, but there is no bicycle rider in the current images.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,0.4,,Are there any cyclists in this image?,data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/0.jpg,"[""data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/0.jpg"", ""data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/1.jpg"", ""data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/2.jpg"", ""data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/3.jpg"", ""data/external/lingoqa/images/val/a96c0d9c0c0dae3a6b27e56e983f817d/4.jpg""]"
lingoqa_eval_000042_wrong_image_confound,lingoqa_eval_000042,v0_keep,wrong_image_confound,spatial_localization,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,0.0,0.3333,,Is there traffic in the opposite direction?,data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/0.jpg,"[""data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/0.jpg"", ""data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/1.jpg"", ""data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/2.jpg"", ""data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/3.jpg"", ""data/external/lingoqa/images/val/eafb7e051fe110abb845b985ae6d9a2b/4.jpg""]"
lingoqa_eval_000059_wrong_image_confound,lingoqa_eval_000059,v0_keep,wrong_image_confound,object_recognition,anti_hallucination_counterfactual,keep,false,preference_or_rejection_later,false,keep_preference_later,,,Wrong-image confound not selected for ordinary SFT cap; better reserved for preference/rejection data.,,0.0,0.4,,"Are there any traffic lights present? If so, what is the color displayed by the lights?",data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg,"[""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/0.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/1.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/2.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/3.jpg"", ""data/external/lingoqa/images/val/b458631e4e946fe134f09a9e979d6347/4.jpg""]"
lingoqa_eval_000062_wrong_image_confound,lingoqa_eval_000062,v0_keep_anti_capped_rewritten,wrong_image_confound,spatial_localization,anti_hallucination_counterfactual,keep,true,normal_vqa_sft,true,keep_sft_v1,No buses are visible.,"The scene contains cyclists or pedestrians on the road, but no bus appears in the current frames.",Kept as capped anti-hallucination visual-evidence sample.,,0.0,1.0,,"Are there any buses in this image? If yes, where are they located?",data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/0.jpg,"[""data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/0.jpg"", ""data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/1.jpg"", ""data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/2.jpg"", ""data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/3.jpg"", ""data/external/lingoqa/images/val/cea4263f7822855aab6ef0c1263712bf/4.jpg""]"
